FileName,SiteName,LibraryName,FileURL,SIT_Type,DetectionCount,SampleMatches,ConfidenceLevel,ScanTimestamp
"BenefitsEnrollment_EMP-10001_2025-06-04.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10001_2025-06-04.xlsx","U.S. Social Security Number (SSN)","5","829-***; 829-***; 829-***","High","2025-11-21 17:31:09"
"BenefitsEnrollment_EMP-10003_2025-09-24.txt","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10003_2025-09-24.txt","U.S. Social Security Number (SSN)","5","377-***; 377-***; 377-***","High","2025-11-21 17:31:10"
"BenefitsEnrollment_EMP-10004_2024-11-24.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10004_2024-11-24.docx","U.S. Social Security Number (SSN)","5","070-***; 070-***; 070-***","High","2025-11-21 17:31:10"
"BenefitsEnrollment_EMP-10004_2025-07-29.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10004_2025-07-29.docx","U.S. Social Security Number (SSN)","5","070-***; 070-***; 070-***","High","2025-11-21 17:31:11"
"BenefitsEnrollment_EMP-10005_2025-02-18.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10005_2025-02-18.pdf","U.S. Social Security Number (SSN)","5","006-***; 006-***; 006-***","High","2025-11-21 17:31:11"
"BenefitsEnrollment_EMP-10005_2025-11-05.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10005_2025-11-05.pdf","U.S. Social Security Number (SSN)","5","006-***; 006-***; 006-***","High","2025-11-21 17:31:12"
"BenefitsEnrollment_EMP-10006_2025-07-29.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10006_2025-07-29.docx","U.S. Social Security Number (SSN)","5","425-***; 425-***; 425-***","High","2025-11-21 17:31:12"
"BenefitsEnrollment_EMP-10008_2025-03-18.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10008_2025-03-18.docx","U.S. Social Security Number (SSN)","5","548-***; 548-***; 548-***","High","2025-11-21 17:31:13"
"BenefitsEnrollment_EMP-10008_2025-07-27.txt","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10008_2025-07-27.txt","U.S. Social Security Number (SSN)","5","548-***; 548-***; 548-***","High","2025-11-21 17:31:13"
"BenefitsEnrollment_EMP-10009_2025-01-15.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10009_2025-01-15.pdf","U.S. Social Security Number (SSN)","5","313-***; 313-***; 313-***","High","2025-11-21 17:31:13"
