FileName,SiteName,LibraryName,FileURL,SIT_Type,DetectionCount,SampleMatches,ConfidenceLevel,ScanTimestamp
"BenefitsEnrollment_EMP-10004_2025-03-03.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10004_2025-03-03.docx","U.S. Social Security Number (SSN)","5","275-***; 275-***; 275-***","High","2025-12-23 00:04:20"
"BenefitsEnrollment_EMP-10008_2025-06-27.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10008_2025-06-27.xlsx","U.S. Social Security Number (SSN)","5","303-***; 303-***; 303-***","High","2025-12-23 00:04:20"
"BenefitsEnrollment_EMP-10009_2025-06-13.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10009_2025-06-13.xlsx","U.S. Social Security Number (SSN)","5","258-***; 258-***; 258-***","High","2025-12-23 00:04:20"
"BenefitsEnrollment_EMP-10009_2025-10-22.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10009_2025-10-22.docx","U.S. Social Security Number (SSN)","5","258-***; 258-***; 258-***","High","2025-12-23 00:04:21"
"BenefitsEnrollment_EMP-10012_2025-12-01.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10012_2025-12-01.docx","U.S. Social Security Number (SSN)","5","268-***; 268-***; 268-***","High","2025-12-23 00:04:21"
"BenefitsEnrollment_EMP-10014_2025-08-21.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10014_2025-08-21.pdf","U.S. Social Security Number (SSN)","5","227-***; 227-***; 227-***","High","2025-12-23 00:04:22"
"BenefitsEnrollment_EMP-10034_2025-09-19.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10034_2025-09-19.docx","U.S. Social Security Number (SSN)","5","455-***; 455-***; 455-***","High","2025-12-23 00:04:22"
"BenefitsEnrollment_EMP-10037_2025-11-22.txt","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10037_2025-11-22.txt","U.S. Social Security Number (SSN)","5","669-***; 669-***; 669-***","High","2025-12-23 00:04:23"
"BenefitsEnrollment_EMP-10039_2025-06-22.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10039_2025-06-22.xlsx","U.S. Social Security Number (SSN)","5","231-***; 231-***; 231-***","High","2025-12-23 00:04:23"
"BenefitsEnrollment_EMP-10043_2025-05-02.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10043_2025-05-02.xlsx","U.S. Social Security Number (SSN)","5","497-***; 497-***; 497-***","High","2025-12-23 00:04:24"
"BenefitsEnrollment_EMP-10046_2025-10-22.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10046_2025-10-22.pdf","U.S. Social Security Number (SSN)","5","624-***; 624-***; 624-***","High","2025-12-23 00:04:24"
"BenefitsEnrollment_EMP-10048_2025-11-20.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10048_2025-11-20.docx","U.S. Social Security Number (SSN)","5","371-***; 371-***; 371-***","High","2025-12-23 00:04:24"
"BenefitsEnrollment_EMP-10049_2025-09-07.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10049_2025-09-07.xlsx","U.S. Social Security Number (SSN)","5","108-***; 108-***; 108-***","High","2025-12-23 00:04:25"
"BenefitsEnrollment_EMP-10051_2025-08-12.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10051_2025-08-12.docx","U.S. Social Security Number (SSN)","5","845-***; 845-***; 845-***","High","2025-12-23 00:04:25"
"BenefitsEnrollment_EMP-10051_2025-10-08.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10051_2025-10-08.docx","U.S. Social Security Number (SSN)","5","845-***; 845-***; 845-***","High","2025-12-23 00:04:26"
"BenefitsEnrollment_EMP-10057_2025-06-13.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10057_2025-06-13.xlsx","U.S. Social Security Number (SSN)","5","011-***; 011-***; 011-***","High","2025-12-23 00:04:26"
"BenefitsEnrollment_EMP-10057_2025-11-16.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10057_2025-11-16.docx","U.S. Social Security Number (SSN)","5","011-***; 011-***; 011-***","High","2025-12-23 00:04:26"
"BenefitsEnrollment_EMP-10059_2025-08-27.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10059_2025-08-27.pdf","U.S. Social Security Number (SSN)","5","254-***; 254-***; 254-***","High","2025-12-23 00:04:27"
"BenefitsEnrollment_EMP-10060_2025-04-03.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10060_2025-04-03.docx","U.S. Social Security Number (SSN)","5","731-***; 731-***; 731-***","High","2025-12-23 00:04:27"
"BenefitsEnrollment_EMP-10063_2025-09-04.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10063_2025-09-04.docx","U.S. Social Security Number (SSN)","5","029-***; 029-***; 029-***","High","2025-12-23 00:04:28"
"BenefitsEnrollment_EMP-10064_2025-07-13.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10064_2025-07-13.pdf","U.S. Social Security Number (SSN)","5","430-***; 430-***; 430-***","High","2025-12-23 00:04:28"
"BenefitsEnrollment_EMP-10065_2025-01-28.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10065_2025-01-28.docx","U.S. Social Security Number (SSN)","5","452-***; 452-***; 452-***","High","2025-12-23 00:04:29"
"BenefitsEnrollment_EMP-10065_2025-06-18.pdf","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10065_2025-06-18.pdf","U.S. Social Security Number (SSN)","5","452-***; 452-***; 452-***","High","2025-12-23 00:04:29"
"BenefitsEnrollment_EMP-10065_2025-06-19.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10065_2025-06-19.xlsx","U.S. Social Security Number (SSN)","5","452-***; 452-***; 452-***","High","2025-12-23 00:04:29"
"BenefitsEnrollment_EMP-10065_2025-07-14.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10065_2025-07-14.docx","U.S. Social Security Number (SSN)","5","452-***; 452-***; 452-***","High","2025-12-23 00:04:30"
"BenefitsEnrollment_EMP-10068_2025-08-03.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10068_2025-08-03.docx","U.S. Social Security Number (SSN)","5","117-***; 117-***; 117-***","High","2025-12-23 00:04:30"
"BenefitsEnrollment_EMP-10071_2025-08-02.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10071_2025-08-02.docx","U.S. Social Security Number (SSN)","5","820-***; 820-***; 820-***","High","2025-12-23 00:04:31"
"BenefitsEnrollment_EMP-10071_2025-08-17.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10071_2025-08-17.xlsx","U.S. Social Security Number (SSN)","5","820-***; 820-***; 820-***","High","2025-12-23 00:04:31"
"BenefitsEnrollment_EMP-10076_2025-01-08.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10076_2025-01-08.xlsx","U.S. Social Security Number (SSN)","5","027-***; 027-***; 027-***","High","2025-12-23 00:04:32"
"BenefitsEnrollment_EMP-10077_2025-06-09.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10077_2025-06-09.docx","U.S. Social Security Number (SSN)","5","098-***; 098-***; 098-***","High","2025-12-23 00:04:32"
"BenefitsEnrollment_EMP-10078_2025-08-25.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10078_2025-08-25.xlsx","U.S. Social Security Number (SSN)","5","085-***; 085-***; 085-***","High","2025-12-23 00:04:33"
"BenefitsEnrollment_EMP-10079_2025-10-11.xlsx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10079_2025-10-11.xlsx","U.S. Social Security Number (SSN)","5","264-***; 264-***; 264-***","High","2025-12-23 00:04:33"
"BenefitsEnrollment_EMP-10086_2025-09-14.docx","HR-Simulation","Documents","https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10086_2025-09-14.docx","U.S. Social Security Number (SSN)","5","588-***; 588-***; 588-***","High","2025-12-23 00:04:33"
