"FileName","SiteName","LibraryName","FileURL","SIT_Type","DetectionCount","SampleMatches","ConfidenceLevel","FileSize","Created","ScanTimestamp","DetectionMethod"
"BenefitsEnrollment_EMP-10046_2025-10-22.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","729","2025-12-23T07:20:16Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"DirectDeposit_EMP-10069_2025-12-08.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","661","2025-12-23T07:21:16Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10077_2025-06-09.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","700","2025-12-23T07:20:34Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10065_2025-01-28.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","728","2025-12-23T07:20:26Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10009_2025-06-13.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","731","2025-12-23T07:20:08Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10063_2025-08-29.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","679","2025-12-23T07:21:54Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10064_2025-04-19.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","665","2025-12-23T07:21:55Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10072_2025-12-20.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","679","2025-12-23T07:21:58Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10093_2025-08-06.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","709","2025-12-23T07:20:40Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10052_2025-11-28.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","690","2025-12-23T07:21:53Z","2025-12-27 17:27:51","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10063_2025-09-04.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","687","2025-12-23T07:20:24Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10014_2025-08-21.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","700","2025-12-23T07:20:11Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10026_2025-11-15.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","668","2025-12-23T07:20:50Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10054_2025-08-30.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","667","2025-12-23T07:21:04Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10003_2025-11-20.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","687","2025-12-23T07:20:41Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10071_2025-09-06.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","645","2025-12-23T07:21:17Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10060_2025-04-11.txt","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","684","2025-12-23T07:21:07Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10064_2025-06-08.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","683","2025-12-23T07:21:11Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10079_2025-12-01.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","654","2025-12-23T07:21:20Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10012_2025-02-20.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","679","2025-12-23T07:21:31Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10038_2025-07-30.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","697","2025-12-23T07:21:43Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10083_2025-02-12.pdf","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","657","2025-12-23T07:21:21Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10100_2024-12-29.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","659","2025-12-23T07:21:28Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10073_2025-02-08.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","667","2025-12-23T07:21:18Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10076_2025-08-15.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","662","2025-12-23T07:21:59Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10043_2025-01-20.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","645","2025-12-23T07:21:00Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10090_2025-06-02.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","667","2025-12-23T07:21:22Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10080_2025-02-26.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","692","2025-12-23T07:22:03Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10072_2025-02-14.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","698","2025-12-23T07:21:57Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10032_2025-08-15.txt","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","685","2025-12-23T07:21:39Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10051_2025-09-08.txt","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","679","2025-12-23T07:21:52Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10042_2025-09-06.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","688","2025-12-23T07:21:44Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10046_2025-06-26.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","681","2025-12-23T07:21:45Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"DirectDeposit_EMP-10068_2025-05-09.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","652","2025-12-23T07:21:13Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10078_2025-04-01.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","689","2025-12-23T07:22:00Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10080_2025-12-14.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","680","2025-12-23T07:22:04Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"BenefitsEnrollment_EMP-10078_2025-08-25.xlsx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","738","2025-12-23T07:20:35Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10079_2025-04-01.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","697","2025-12-23T07:22:01Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10087_2025-06-24.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","698","2025-12-23T07:22:06Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
"EmployeeHandbook_EMP-10092_2025-10-04.docx","Unknown","Shared Documents","","U.S. Social Security Number (SSN)","1","[eDiscovery export - content not included]","High","703","2025-12-23T07:22:08Z","2025-12-27 17:27:52","eDiscovery Compliance Search"
